Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
1/28/2024,AQS,350010023,1,38.3,ppb,36,DEL NORTE HIGH SCHOOL,19,79,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/29/2024,AQS,350010023,1,34.7,ppb,32,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/30/2024,AQS,350010023,1,31.7,ppb,29,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
1/31/2024,AQS,350010023,1,30.2,ppb,28,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/1/2024,AQS,350010023,1,27.2,ppb,25,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/2/2024,AQS,350010023,1,17.7,ppb,16,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/3/2024,AQS,350010023,1,16.4,ppb,15,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/4/2024,AQS,350010023,1,17.2,ppb,16,DEL NORTE HIGH SCHOOL,19,79,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/5/2024,AQS,350010023,1,36.3,ppb,34,DEL NORTE HIGH SCHOOL,23,96,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/6/2024,AQS,350010023,1,30.3,ppb,28,DEL NORTE HIGH SCHOOL,19,79,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/7/2024,AQS,350010023,1,7.6,ppb,7,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/8/2024,AQS,350010023,1,10,ppb,9,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/9/2024,AQS,350010023,1,28.7,ppb,26,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/10/2024,AQS,350010023,1,23.8,ppb,22,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/11/2024,AQS,350010023,1,10.2,ppb,9,DEL NORTE HIGH SCHOOL,19,79,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/12/2024,AQS,350010023,1,38.2,ppb,36,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/13/2024,AQS,350010023,1,37.3,ppb,35,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/14/2024,AQS,350010023,1,39.7,ppb,37,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/15/2024,AQS,350010023,1,37.9,ppb,35,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/16/2024,AQS,350010023,1,34.4,ppb,32,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/17/2024,AQS,350010023,1,23.2,ppb,22,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/18/2024,AQS,350010023,1,27.8,ppb,25,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/19/2024,AQS,350010023,1,37.5,ppb,35,DEL NORTE HIGH SCHOOL,19,79,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/20/2024,AQS,350010023,1,37.4,ppb,35,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
2/21/2024,AQS,350010023,1,32.3,ppb,30,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
