Local Site Name,County,State,Material
COLUMBUS,Columbia,WI,Ozone
MADISON EAST,Dane,WI,Ozone
HORICON WILDLIFE AREA,Dodge,WI,Ozone
NEWPORT PARK,Door,WI,Ozone
EAU CLAIRE - DOT SIGN SHOP,Eau Claire,WI,Ozone
FOND DU LAC,Fond du Lac,WI,Ozone
POTAWATOMI,Forest,WI,Ozone
JEFFERSON - LAATSCH,Jefferson,WI,Ozone
KEWAUNEE,Kewaunee,WI,Ozone
LACROSSE - DOT BUILDING,La Crosse,WI,Ozone
MANITOWOC - WDLND DUNES,Manitowoc,WI,Ozone
LAKE DUBAY,Marathon,WI,Ozone
APPLETON - AAL,Outagamie,WI,Ozone
RACINE - PAYNE AND DOLAN,Racine,WI,Ozone
BELOIT - CONVERSE,Rock,WI,Ozone
DEVILS LAKE PARK,Sauk,WI,Ozone
Perkinstown,Taylor,WI,Ozone
TROUT LAKE,Vilas,WI,Ozone
WAUKESHA - CLEVELAND AVE,Waukesha,WI,Ozone
BAD RIVER TRIBAL SCHOOL - ODANAH,Ashland,WI,PM2.5
GREEN BAY EAST HIGH,Brown,WI,PM2.5
HORICON WILDLIFE AREA,Dodge,WI,PM2.5
EAU CLAIRE - DOT SIGN SHOP,Eau Claire,WI,PM2.5
POTAWATOMI,Forest,WI,PM2.5
POTOSI,Grant,WI,PM2.5
CHIWAUKEE PRAIRIE STATELINE,Kenosha,WI,PM2.5
LACROSSE - DOT BUILDING,La Crosse,WI,PM2.5
LAKE DUBAY,Marathon,WI,PM2.5
APPLETON - AAL,Outagamie,WI,PM2.5
HARRINGTON BEACH PARK,Ozaukee,WI,PM2.5
DEVILS LAKE PARK,Sauk,WI,PM2.5
PERKINSTOWN,Taylor,WI,PM2.5
TROUT LAKE,Vilas,WI,PM2.5
WAUKESHA - CLEVELAND AVE,Waukesha,WI,PM2.5
Holland,Allegan,MI,AQI
"JENISON ST ABOUT 70 FT WEST, 2 LANE RESIDENTIAL",Bay,MI,AQI
FRANKFORT,Benzie,MI,AQI
Coloma PAW PAW WWTP,Berrien,MI,AQI
"Cassopolis ROSS BEATTY HIGH SCHOOL, 22721 DIAMOND COVE ST.",Cass,MI,AQI
ROSELAKE2 9870 STOLL RD,Clinton,MI,AQI
WHALEY PK 3610 IOWA (FLINT),Genesee,MI,AQI
RURAL THUMB AREA OZONE SITE,Huron,MI,AQI
LANSING / FILLEY STREET,Ingham,MI,AQI
KALAMAZOO FAIRGROUNDS,Kalamazoo,MI,AQI
GR-MONROE,Kent,MI,AQI
"6792 RAISIN CENTER HWY, LENAWEE CO.RD.COMM.OWNER, TECUMSEH",Lenawee,MI,AQI
New Haven,Macomb,MI,AQI
NEGAUNEE TWP,Marquette,MI,AQI
SCOTTVILLE - LOCATED 550 FT NORTH OF US10,Mason,MI,AQI
LOCATED ABOUT 1/4 MILE WEST OF SITE,Missaukee,MI,AQI
MUSKEGON,Muskegon,MI,AQI
Oak Park,Oakland,MI,AQI
Jenison,Ottawa,MI,AQI
"Seney SENEY NAT'L WILDLIFE REFUGE, HCR2, BOX 1",Schoolcraft,MI,AQI
Port Huron,St. Clair,MI,AQI
Unionville,Tuscola,MI,AQI
Hoxeyville,Wexford,MI,AQI
GR-MONROE,Kent,MI,CO
LANSING / FILLEY STREET,Ingham,MI,NO2
GR-MONROE,Kent,MI,NO2
LOCATED ABOUT 1/4 MILE WEST OF SITE,Missaukee,MI,NO2
Jenison,Ottawa,MI,NO2
Holland,Allegan,MI,Ozone
FRANKFORT,Benzie,MI,Ozone
Coloma PAW PAW WWTP,Berrien,MI,Ozone
"Cassopolis ROSS BEATTY HIGH SCHOOL, 22721 DIAMOND COVE ST.",Cass,MI,Ozone
ROSELAKE2 9870 STOLL RD,Clinton,MI,Ozone
RURAL THUMB AREA OZONE SITE,Huron,MI,Ozone
